h1->h2TCP	h4->h2TCP	h1->h2UDP	h4->h2UDP	h2->h4TCP	h5->h4TCP	h2->h4UDP	h5->h4UDP	h2->h1TCP	h2->h1UDP	h4->h5TCP	h4->h5UDP
48.1	22.2	31.9	24.7	99.9	77.7	25.4	20.9	101	25.2	31.8	25.7
32	21.1	32.4	24	44.5	101	24.7	22.9	95.3	24.6	84.2	23.1
83.7	27.4	22.8	23.4	39.4	74.8	22.4	23	71.3	21.7	33.6	26.1
24.6	10.6	23.7	25.7	18.4	77.3	22.8	22.9	31.2	16.9	48.8	24.7
31.2	11.3	31.1	22.9	16.3	25.3	24.4	24.5	81.1	23.7	86.3	22.7
											
											
											
48.1	99.9	31.8		101	22.2	77.7					
32	44.5	84.2		95.3	21.1	101					
83.7	39.4	33.6		71.3	27.4	74.8					
24.6	18.4	48.8		31.2	10.6	77.3					
31.2	16.3	86.3		81.1	11.3	25.3					
											
											
31.9	25.4	25.7		25.2	24.7	20.9					
32.4	24.7	23.1		24.6	24	22.9					
22.8	22.4	26.1		21.7	23.4	23					
23.7	22.8	24.7		16.9	25.7	22.9					
31.1	24.4	22.7		23.7	22.9	24.5					
